codice,nome,nome_en,pattern,gruppo_target,attrezzo,luogo,muscoli,livello,uso,zone_rischio,adattamento,alternativa,setup,esecuzione,errori,nota_sicurezza,surrogato_attrezzo,nota_surrogato,esecuzione_surrogato,errori_surrogato,gif_slug
EX011,Rematore bilanciere busto flesso,Barbell bent over row,tirata orizzontale,dorsali,bilanciere,casa;libero;palestra,gran dorsale;romboidi;trapezio medio;bicipiti;erettori spinali,intermedio;avanzato,principale,lombare;spalle,"lombare: schiena neutra e core contratto per tutta la serie. se non riesci a mantenerla, usa la versione con petto in appoggio",EX076,"In piedi, piedi larghezza anche, bilanciere con presa prona poco piu larga delle spalle, busto flesso a circa 45 gradi, schiena neutra, ginocchia semiflesse",Tirata del bilanciere verso l'addome portando i gomiti indietro;Contrai le scapole in chiusura;Discesa controllata 3 sec fino a braccia distese;Busto immobile per tutta la serie,Alzare il busto durante la tirata;Arrotondare la schiena;Slanciare il bilanciere con la lombare,"Lombari: schiena neutra e core sempre contratto. Il busto non si muove: se si alza a ogni ripetizione, il carico e troppo alto",elastico,"Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore","Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico",Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie,rematore-bilanciere-busto-flesso
EX012,Curl un braccio cavo basso in piedi,Unilateral Low Cable Curl,isolamento,bicipiti,cavo basso,palestra,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,elastico,"Elastico sotto il piede al posto del cavo basso, lavoro a un braccio","In piedi, elastico sotto il piede, una maniglia nella mano che lavora, gomito fermo al fianco;Fletti controllando fino a contrazione piena;Eccentrica lenta 2-3 sec contro il ritorno dell'elastico;Completa le ripetizioni, poi cambia braccio",Slancio del busto per vincere la tensione;Gomiti che si spostano dalla posizione;Range incompleto perche' l'elastico si irrigidisce a fine corsa,curl-un-braccio-cavo-basso-in-piedi
EX013,Squat corpo libero,Bodyweight squat,dominante ginocchia,quadricipiti,corpo libero,casa;libero;palestra,quadricipiti;glutei;core,principiante,principale,ginocchia;lombare,Scendi fin dove controlli senza arrotondare la schiena,EX258,"In piedi, piedi a larghezza spalle, punte leggermente extraruotate, sguardo avanti, core attivo",Scendi piegando anche e ginocchia come per sederti,schiena neutra;Spingi dai talloni per risalire;Espira nella risalita,inspira nella discesa,,,,,squat-corpo-libero
EX014,Curl hammer manubri panca inclinata,Incline Dumbbell Hammer Curl,isolamento,bicipiti,manubri;panca inclinata,palestra;casa,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,,,,,curl-hammer-manubri-panca-inclinata
EX015,Affondo sul posto,Stationary bodyweight lunge,composto,quadricipiti,corpo libero;elastico;maniglie,casa;libero;palestra,quadricipiti;glutei;ischiocrurali;core,principiante;intermedio,principale,ginocchia;anche,Riduci la profondità e non far superare il ginocchio oltre la punta,EX013,"In piedi, mani sui fianchi",Scendi in affondo flettendo entrambe le ginocchia;Risali;Alterna la gamba avanti ad ogni ripetizione,Ginocchio anteriore che cede all'interno;Busto in avanti;Perdita di equilibrio nel cambio gamba,"Movimento controllato, mai impatto del ginocchio posteriore col suolo",,,,,affondo-sul-posto
EX016,Leg press orizzontale macchina,Seated machine horizontal leg press,pressa gambe,quadricipiti,macchina,palestra,quadricipiti;glutei;ischiocrurali,principiante,principale,ginocchia;lombare,Non bloccare le ginocchia in estensione; schiena aderente allo schienale,EX249,"Seduto alla macchina orizzontale, schiena e bacino aderenti, piedi sulla piattaforma a larghezza spalle, mani alle maniglie",Spingi la piattaforma estendendo le ginocchia senza bloccarle;Rientra controllato fino a ~90 gradi;Espira nella spinta,inspira nel ritorno,Ginocchia bloccate a fine spinta;Bacino che si stacca (lombare in flessione);Range troppo profondo con schiena sollevata,,,,,leg-press-orizzontale-macchina
EX017,Hip thrust bilanciere panca,Barbell hip thrust,dominante anca,glutei,bilanciere,palestra;casa,glutei;ischiocrurali,intermedio,principale;finisher,lombare,"lombare: chiudi le costole e contrai gli addominali in alto, non iperestendere la schiena; mento retratto",EX019,"Schiena appoggiata su panca all'altezza delle scapole, bilanciere (o elastico) sul bacino, piedi a terra","Spingi il bacino verso l'alto contraendo i glutei fino ad allineare busto e cosce;Discesa controllata 2-3 sec;Inspira e tieni il core in tensione, espira spingendo; non trattenere a lungo",Iperestensione lombare in alto;Spinta dalle punte invece che dai talloni;Range incompleto,"Lombare: la spinta finisce con il bacino in linea, NON in iperestensione",panca+elastico,"Schiena appoggiata su panca all'altezza delle scapole, elastico sopra il bacino tenuto in tensione, spinta d'anca fino al bacino allineato","Schiena appoggiata su panca all'altezza delle scapole, piedi a terra a larghezza anche, elastico sopra il bacino con estremità sotto i piedi o ancorate ai lati;Contrai i glutei e spingi il bacino verso l'alto fino ad allineare ginocchio-anca-spalla;Pausa isometrica 1 sec in massima contrazione;Ritorno controllato 2-3 sec senza toccare il pavimento tra le ripetizioni",Elastico non centrato sul bacino;Iperestensione lombare in cima;Piedi che si spostano durante la serie;Spinta dalle punte dei piedi invece che dai talloni,hip-thrust-bilanciere-panca
EX018,Stacco rumeno bilanciere,Barbell romanian deadlift,dominante anca,ischiocrurali,bilanciere,palestra,ischiocrurali;glutei;dorsali,avanzato,principale,lombare;ischiocrurali,Ginocchia leggermente flesse; schiena neutra; scendi finche i femorali lo permettono,EX283,"In piedi, bilanciere davanti alle cosce a presa prona, ginocchia leggermente flesse, schiena neutra",Spingi il bacino indietro facendo scendere il bilanciere lungo le gambe;Scendi finche senti tirare i femorali mantenendo la schiena neutra;Risali spingendo il bacino avanti,Schiena arrotondata;Bilanciere lontano dalle gambe;Flettere troppo le ginocchia,Schiena sempre neutra; il movimento parte dall'anca non dalla schiena,elastico,Bilanciere sostituito da elastico calpestato al centro con maniglie ai lati del corpo. Hip hinge puro: schiena neutra per protezione lombare.,"Piedi al centro dell'elastico, una maniglia per mano ai lati delle cosce;Hip hinge: spingi il bacino indietro mantenendo schiena neutra, elastico che accompagna lungo le gambe;Scendi fino a sentire allungamento ischiocrurali, ginocchia morbide;Risali estendendo l'anca, gluteo contratto in chiusura",Schiena che si curva in basso: rischio lombare;Ginocchia che si piegano troppo trasformando in squat;Elastico troppo lasco: nessuna tensione in basso;Risalita di reni invece che d'anca,stacco-rumeno-bilanciere
EX019,Ponte glutei,Bodyweight glute bridge,dominante anca,glutei,corpo libero,casa;libero;palestra,glutei;ischiocrurali,principiante,principale;finisher;recupero,lombare,Spingi dai talloni; non iperestendere la schiena in cima,EX251,"Supino a terra, ginocchia piegate, piedi a terra a larghezza anche, braccia lungo i fianchi",Spingi dai talloni sollevando il bacino fino ad allineare spalle-anche-ginocchia;Contrai i glutei in cima 1 sec;Scendi controllato senza appoggiare del tutto,Iperestensione lombare in cima (spinta con la schiena);Talloni che si staccano;Spinta con la punta dei piedi,La spinta parte dai glutei e dai talloni NON dalla lombare,,,,,ponte-glutei
EX020,Curl inverso manubri,Dumbbell Reverse Curl,isolamento,bicipiti,manubri,palestra;casa,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,elastico,"Elastico a tubo calpestato a metà, un capo per mano, presa prona, dorso della mano in alto","In piedi sull'elastico, braccia distese lungo i fianchi con la tensione già presente;Fletti i gomiti verso le spalle mantenendoli fermi contro il busto;Contrai in alto un istante;Ritorno lento 3 sec senza far collassare l'elastico",Elastico troppo lasco a inizio movimento: si perde tensione nella parte bassa;Gomiti che si spostano in avanti;Busto che oscilla per aiutare la salita;Slanciare per vincere il picco di resistenza in alto,curl-inverso-manubri
EX021,Plank avambracci,,core,core anti-estensione,corpo libero,casa;libero;palestra,core;addome;trasverso,principiante,principale;finisher;recupero,lombare;spalle,"lombare: bacino leggermente retroverso, non far cedere la schiena. spalle: distribuisci il peso, gomiti sotto le spalle",EX022,"Appoggio su avambracci e punte dei piedi, gomiti sotto le spalle, corpo in linea retta","Mantieni la posizione contraendo addome e glutei, bacino in linea col corpo;Tenuta isometrica;Respira normalmente, non bloccare il fiato",Bacino che cede in basso;Bacino troppo alto;Apnea respiratoria,"Lombare: se la schiena cede, accorcia la durata e ricontrai l'addome",,,,,plank-avambracci
EX022,Dead bug,,core,core anti-estensione,corpo libero,casa;libero;palestra,core;addome;trasverso,principiante,principale;finisher;recupero,lombare,"lombare: la schiena bassa deve restare incollata al suolo per tutta la durata; se si stacca, riduci il range di movimento (braccia più vicine al corpo o gambe più alte)",EX021,"Supino, braccia tese verso il soffitto, gambe a 90 gradi (anche e ginocchia)","Abbassa lentamente braccio e gamba opposti, lombare aderente al suolo;Alterna i lati controllato;Respira normalmente, non bloccare il fiato",Lombare che si stacca dal suolo;Movimento troppo veloce;Trattenere il respiro,Ottimo per chi ha problemi lombari: mantiene la colonna neutra e protetta,,,,,dead-bug
EX023,Pallof press con elastico,,core,core anti-rotazione,elastico,casa;libero;palestra,core;obliqui;trasverso,intermedio,principale;finisher,nessuna,esercizio sicuro per qualsiasi livello: riduci la tensione dell'elastico o accorcia la distanza dall'ancoraggio se troppo intenso,EX021,"Elastico ancorato di lato all'altezza del petto, in piedi perpendicolare all'ancoraggio, maniglia con due mani al petto — inizia con il lato sinistro verso l'ancoraggio","Spingi le mani in avanti resistendo alla rotazione, busto fermo;Ritorno controllato;Respira normalmente, non bloccare il fiato;Completa tutte le reps su un lato, poi gira e ripeti dall'altro lato",Rotazione del busto;Spalle in elevazione;Movimento troppo veloce,"Anti-rotazione: il busto NON deve ruotare, e' il punto dell'esercizio",,,,,
EX024,Curl bilanciere,Barbell Curl,isolamento,bicipiti,bilanciere,palestra;casa,bicipiti;brachiale,principiante,principale,gomito;polso,Se i polsi danno fastidio usa bilanciere EZ; busto fermo,EX271,"In piedi, bilanciere dritto a presa supina larghezza spalle, braccia distese, busto eretto","Fletti entrambi i gomiti portando il bilanciere verso le spalle;Eccentrica controllata 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio del busto;Gomiti che avanzano;Range incompleto,Gomiti fermi lungo i fianchi: muovi solo gli avambracci,,,,,curl-bilanciere
EX025,Curl spider bilanciere panca inclinata,Barbell Spider Curl On Incline Bench,isolamento,bicipiti,bilanciere;panca inclinata,palestra,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,,,,,curl-spider-bilanciere-panca-inclinata
EX026,Pushdown corda cavo,Cable rope pushdown,isolamento,tricipiti,cavo;corda,palestra;casa,tricipiti,principiante,principale,gomiti,"gomiti fermi ai fianchi, apri la corda a fine corsa",EX549,"In piedi (in piedi corda) davanti al cavo, gomiti fermi ai fianchi, presa sull'attrezzo","Estendi gli avambracci verso il basso, gomiti immobili ai fianchi;Ritorno controllato 2-3 sec;Espira nello sforzo, inspira nel ritorno",Gomiti che si allontanano dal busto;Uso delle spalle;Slancio del tronco;Range incompleto,Gomiti fermi ai fianchi per tutta la serie: se si spostano stai usando troppo carico,elastico,"Elastico ancorato in alto, maniglie o estremità in mano, gomiti ai fianchi","In piedi, elastico ancorato in alto, gomiti fermi ai fianchi;Estendi gli avambracci verso il basso mantenendo i gomiti immobili;Ritorno controllato 2-3 sec;Espira nello sforzo, inspira nel ritorno",Gomiti che si allontanano dal busto;Uso delle spalle;Slancio del tronco;Carico eccessivo con l'elastico,pushdown-corda-cavo
EX027,French press bilanciere supino panca piana,Barbell lying tricep extension,isolamento,tricipiti,bilanciere;panca,palestra;casa,tricipiti,intermedio,principale,gomiti;spalle,"gomiti fermi puntati al soffitto, riduci range basso se fastidio",EX026,"Supino su panca piana, carico sopra il petto a braccia tese, gomiti puntati in alto e fermi",Fletti i gomiti abbassando il carico verso fronte o dietro la testa;Estendi tornando in alto senza spostare i gomiti;Eccentrica controllata 2-3 sec,Gomiti che si aprono;Spalle che si muovono;Rimbalzo a fine corsa;Carico eccessivo,Gomiti immobili e puntati al soffitto. Riduci il range basso se fastidio al gomito,elastico,"Supino su panca o a terra, elastico ancorato basso dietro la testa, estremità in mano sopra il petto, gomiti in alto","Supino, elastico ancorato basso dietro la testa;Mani sopra il petto con gomiti puntati al soffitto e fermi;Fletti i gomiti portando le mani verso la fronte;Estendi tornando in alto senza muovere i gomiti",Gomiti che si aprono lateralmente;Spalle che compensano;Ancoraggio errato che cambia l'angolo;Carico eccessivo con l'elastico,french-press-bilanciere-supino-panca-piana
EX028,Calf raise,Bodyweight calf raise,isolamento,polpacci,corpo libero,casa;libero;palestra,polpacci,principiante,principale,caviglie,caviglie: range ridotto e controllato se instabilita'; tieni un appoggio per l'equilibrio,EX066,"In piedi, punte dei piedi su un rialzo, talloni liberi di scendere","Sollevati sulle punte contraendo i polpacci al massimo;Discesa lenta e controllata in allungo 2-3 sec;Espira nello sforzo, inspira nel ritorno",Rimbalzo veloce;Range parziale;Perdita di equilibrio,"Caviglie: appoggio stabile, usa un appoggio laterale se instabile. No rimbalzi nella fase bassa",,,,,calf-raise
EX029,Cat-cow (mobilita colonna),,mobilita,,corpo libero,casa;libero;palestra,colonna;core,principiante,recupero,lombare;cervicale,"cervicale: muovi il collo dolcemente senza forzare. lombare: movimento fluido nel range comodo, no estremi",EX124,"In quadrupedia, mani sotto le spalle e ginocchia sotto le anche","Inarca lentamente la schiena verso l'alto (gatto), poi incurva verso il basso (mucca);Movimento fluido seguendo il respiro;Respira normalmente, non bloccare il fiato",Movimenti bruschi;Forzare gli estremi;Trattenere il respiro,"Esercizio di mobilita': nessun carico, ideale per riscaldamento colonna",,,,,
EX030,Band pull-apart (attivazione scapole),,isolamento,deltoidi posteriori,elastico,casa;libero;palestra,romboidi;trapezio;deltoide posteriore,principiante,principale,spalle,"spalle: usa un elastico leggero, movimento controllato nel range comodo",EX094,"In piedi, elastico teso tra le mani davanti al petto, braccia distese","Apri le braccia portando l'elastico verso il petto avvicinando le scapole;Ritorno controllato;Espira nello sforzo, inspira nel ritorno",Spalle in elevazione;Slancio;Elastico troppo duro,Ottimo in riscaldamento per attivare la muscolatura scapolare,,,,,
EX031,Mountain climber controllato,,cardio_metabolico,,corpo libero,casa;libero;palestra,core;flessori anca;spalle,intermedio,finisher,ginocchia;lombare;polsi,"ginocchia: ritmo lento e controllato, no slancio; se fastidio sostituisci con plank dinamico. lombare: bacino retroverso, non inarcare. polsi: appoggio su pugni o maniglie push-up",EX021,"Posizione di plank alto: mani sotto le spalle, corpo in linea retta","Porta alternativamente un ginocchio verso il petto, bacino fermo e basso;Ritmo controllato non a scatti;Respiro ritmico e continuo",Bacino che si alza;Schiena curva;Movimento troppo rapido che perde controllo,"Versione a basso impatto: ritmo lento e fluido, no salti tra le posizioni",,,,,
EX032,Hollow hold,,core,core anti-estensione,corpo libero,casa;libero;palestra,core;addome profondo;flessori anca,intermedio,principale;finisher,lombare;cervicale,"lombare: tieni la zona lombare SEMPRE incollata al pavimento; se si stacca, alza le gambe o piega le ginocchia. cervicale: testa appena sollevata, non tirare il collo",EX022,"Supino, braccia tese sopra la testa, gambe distese","Solleva spalle e gambe dal pavimento, lombare incollata a terra;Tieni la posizione;Respira normalmente, non bloccare il fiato",Lombare che si stacca dal pavimento;Apnea respiratoria;Spalle troppo basse,"Anti-estensione: alternativa sicura al crunch, mantiene la colonna neutra",,,,,
EX033,Step-up al ritmo,,dominante ginocchia,,corpo libero,casa;libero;palestra,quadricipiti;glutei;polpacci;core,principiante,finisher;recupero,ginocchia;caviglie,"ginocchia: altezza step contenuta (20-30 cm) per ridurre stress; non spingere col piede a terra, sali solo con la gamba sullo step. caviglie: appoggio completo del piede sullo step",EX041,"In piedi davanti a uno step o panchetta bassa, busto eretto","Sali sullo step premendo sul tallone;Scendi controllato;Alterna o ripeti per gamba;Espira nello sforzo, inspira nel ritorno",Spinta dalla gamba a terra invece che da quella sullo step;Step troppo alto;Discesa a impatto,Sostituto cardio a BASSO impatto rispetto a jumping jack o corsa sul posto,,,,,
