codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX457	Lat pulldown barra cavo alto	Cable straight arm pulldown bar	isolamento	dorsali	cavo alto	casa;palestra	gran dorsale;tricipiti;deltoide posteriore;core	principiante;intermedio	finisher	spalle;lombare	spalle: braccia distese ma gomiti morbidi, non bloccati. lombare: core contratto, busto leggermente inclinato avanti	EX458	In piedi davanti al cavo alto, barra dritta con presa prona larghezza spalle, braccia distese in avanti in alto, busto leggermente inclinato, core contratto	Spingi la barra verso il basso ad arco fino alle cosce tenendo le braccia distese;Contrai il dorsale in basso;Ritorno controllato 3 sec seguendo lo stesso arco;Gomiti sempre morbidi ma mai flessi	Piegare i gomiti trasformandolo in un pushdown per tricipiti;Slanciare il busto;Rilasciare la tensione in alto	Braccia distese per tutta la serie: se pieghi i gomiti stai allenando i tricipiti, non il dorsale	elastico	Elastico ancorato in alto, braccia distese, spinta ad arco verso le cosce: riproduce il pullover a braccia tese	In piedi davanti all'ancoraggio alto, maniglie in mano, braccia distese in avanti verso l'alto, busto leggermente inclinato;Spingi le braccia distese ad arco verso il basso fino alle cosce;Contrai il dorsale in basso, gomiti morbidi ma mai flessi;Ritorno lento 3 sec seguendo lo stesso arco	Piegare i gomiti trasformandolo in un pushdown per tricipiti;Slanciare il busto;Rilasciare la tensione in alto;Elastico troppo corto che limita l'arco	lat-pulldown-barra-cavo-alto
EX458	Lat pulldown corda cavo alto	Cable straight arm pulldown rope	isolamento	dorsali	corda	casa;palestra	gran dorsale;tricipiti;deltoide posteriore;core	principiante;intermedio	finisher	spalle;lombare	spalle: la corda permette di aprire le mani a fine movimento, piu confortevole. lombare: core contratto	EX457	In piedi davanti al cavo alto, corda impugnata con presa neutra, braccia distese in avanti in alto, busto leggermente inclinato, core contratto	Spingi la corda verso il basso ad arco fino alle cosce tenendo le braccia distese;Apri le mani a fine movimento;Ritorno controllato 3 sec;Gomiti sempre morbidi	Piegare i gomiti;Slanciare il busto;Non aprire la corda in contrazione	La corda consente una contrazione dorsale piu ampia rispetto alla barra: apri le mani in chiusura	elastico	Elastico ancorato in alto, braccia distese, spinta ad arco verso le cosce: riproduce il pullover a braccia tese	In piedi davanti all'ancoraggio alto, maniglie in mano, braccia distese in avanti verso l'alto, busto leggermente inclinato;Spingi le braccia distese ad arco verso il basso fino alle cosce;Contrai il dorsale in basso, gomiti morbidi ma mai flessi;Ritorno lento 3 sec seguendo lo stesso arco	Piegare i gomiti trasformandolo in un pushdown per tricipiti;Slanciare il busto;Rilasciare la tensione in alto;Elastico troppo corto che limita l'arco	lat-pulldown-corda-cavo-alto
EX460	Rematore V-bar cavo medio panca piana	Cable V-bar row prone flat bench	tirata orizzontale	dorsali	cavi	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;deltoide posteriore	principiante;intermedio	principale	spalle	spalle: tirata al petto, gomiti lungo il corpo. lombare protetta dall'appoggio del petto	EX011	Panca piana davanti alla puleggia bassa, petto in appoggio sulla panca, V-bar agganciata al cavo, braccia distese verso il basso, presa neutra	Tirata verso il petto portando i gomiti indietro;Contrai le scapole in chiusura;Ritorno controllato 3 sec fino a braccia distese;Petto sempre in appoggio	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elevare le spalle	Il petto in appoggio elimina ogni compenso lombare: e la variante piu sicura del rematore	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-v-bar-cavo-medio-panca-piana
EX461	Rematore barra cavo basso	Cable low pulley bar row	tirata orizzontale	dorsali	cavo basso	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;erettori spinali	intermedio	principale	lombare;spalle	lombare: busto flesso con schiena neutra, core contratto. se non riesci a mantenerla, passa alla versione su panca	EX011	In piedi davanti alla puleggia bassa, busto flesso in avanti, schiena neutra, ginocchia semiflesse, barra dritta con presa prona, braccia distese	Tirata verso l'addome portando i gomiti indietro;Contrai le scapole;Ritorno controllato 3 sec;Busto fermo per tutta la serie	Alzare il busto durante la tirata;Arrotondare la schiena;Tirare con i bicipiti	Lombari: schiena neutra e core sempre contratto. Se il busto si alza a ogni ripetizione, il carico e troppo alto	elastico	Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore	Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico	Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie	rematore-barra-cavo-basso
EX462	Rematore barra cavo medio panca inclinata	Cable bar row prone incline bench	tirata orizzontale	dorsali	panca inclinata	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;deltoide posteriore	principiante;intermedio	principale	spalle	spalle: tirata al petto con gomiti lungo il corpo. lombare protetta dall'appoggio	EX011	Panca inclinata a 30-45 gradi davanti alla puleggia bassa, petto in appoggio sullo schienale, barra dritta con presa prona, braccia distese	Tirata verso il petto portando i gomiti indietro;Contrai le scapole in chiusura;Ritorno controllato 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca;Tirare con i bicipiti;Rilasciare la tensione al ritorno	L'inclinazione della panca cambia l'angolo di tirata: lavora piu sulla parte alta del dorsale	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-barra-cavo-medio-panca-inclinata
EX463	Rematore barra cavo basso presa larga seduto	Cable seated row straight bar	tirata orizzontale	dorsali	cavo basso	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;erettori spinali	principiante;intermedio	principale	lombare;spalle	lombare: busto eretto, non slanciare avanti e indietro. spalle: tirata all'addome con gomiti lungo il corpo	EX011	Seduto alla pulley bassa, piedi sulla pedana, ginocchia semiflesse, busto eretto, barra dritta con presa prona, braccia distese	Tirata verso l'addome portando i gomiti indietro;Contrai le scapole in chiusura;Ritorno controllato 3 sec fino a braccia distese;Busto sempre eretto	Slanciare il busto avanti e indietro;Arrotondare la schiena in allungamento;Tirare con i bicipiti	Il busto resta fermo: se oscilli avanti e indietro stai usando la lombare al posto del dorsale	elastico	Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore	Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico	Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie	rematore-barra-cavo-basso-presa-larga-seduto
EX465	Rematore bilanciere presa inversa	Barbell reverse grip bent over row	tirata orizzontale	dorsali	bilanciere	casa;libero;palestra	gran dorsale;romboidi;bicipiti;trapezio medio;erettori spinali	intermedio	principale	lombare;gomito;polso	lombare: schiena neutra, core contratto. gomito: la presa supina carica i bicipiti, riduci il peso rispetto alla presa prona	EX076	In piedi, bilanciere con presa supina larghezza spalle, busto flesso a circa 45 gradi, schiena neutra, ginocchia semiflesse	Tirata verso l'addome basso con i gomiti che scorrono vicini al corpo;Contrai le scapole in chiusura;Discesa controllata 3 sec;Busto immobile	Alzare il busto;Tirare con i bicipiti anziche con la schiena;Iperestendere i polsi	La presa supina enfatizza la parte bassa del dorsale ma sovraccarica i bicipiti: usa carichi moderati	elastico	Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore	Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico	Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie	rematore-bilanciere-presa-inversa
EX467	Rematore bilanciere panca inclinata	Barbell row prone incline bench	tirata orizzontale	dorsali	panca inclinata	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;deltoide posteriore	principiante;intermedio	principale	spalle	spalle: tirata al petto con gomiti lungo il corpo. lombare completamente protetta dall'appoggio	EX011	Panca inclinata a 30-45 gradi, petto in appoggio sullo schienale, bilanciere impugnato con presa prona sotto la panca, braccia distese	Tirata del bilanciere verso il petto portando i gomiti indietro;Contrai le scapole;Discesa controllata 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Non completare la distensione in basso	Il petto in appoggio azzera il carico lombare: la variante piu sicura per chi ha problemi alla schiena	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-bilanciere-panca-inclinata
EX468	Tirate al mento corda cavo alto inginocchiato	Kneeling cable rope row	tirata verticale	dorsali	corda	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;core	intermedio	principale;finisher	spalle;lombare	spalle: tirata al viso/petto con gomiti alti. lombare: core contratto, busto eretto	EX008	In ginocchio davanti al cavo alto, corda impugnata con presa neutra, braccia distese in alto, busto eretto, core contratto	Tirata della corda verso il basso portando i gomiti indietro;Contrai le scapole in chiusura;Risalita controllata 3 sec;Busto eretto e immobile	Sedersi sui talloni;Inclinare il busto indietro per aiutarsi;Tirare con i bicipiti	La posizione in ginocchio impedisce di barare con le gambe: il core lavora in isometria per tutta la serie	elastico	Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore	Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico	Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie	tirate-al-mento-corda-cavo-alto-inginocchiato
EX469	Rematore corda cavo panca piana	Cable rope row prone flat bench	tirata orizzontale	dorsali	corda	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;deltoide posteriore	principiante;intermedio	principale	spalle	spalle: la corda permette di aprire le mani in chiusura. lombare protetta dall'appoggio	EX011	Panca piana davanti alla puleggia bassa, petto in appoggio sulla panca, corda impugnata con presa neutra, braccia distese verso il basso	Tirata verso il petto portando i gomiti indietro;Apri le mani in massima contrazione;Ritorno controllato 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca;Tirare con i bicipiti;Non aprire la corda in chiusura	La corda consente una contrazione scapolare piu ampia rispetto alla barra: apri le mani a fine tirata	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-corda-cavo-panca-piana
EX480	Rematore cavo medio V-bar	Cable handle row	tirata orizzontale	dorsali	cavo	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;core	principiante;intermedio	principale;finisher	lombare;spalle	lombare: busto eretto, core contratto, un piede avanti per stabilita. spalle: tirata all'addome con gomiti lungo il corpo	EX011	In piedi davanti al cavo regolato all'altezza del petto, maniglia impugnata con entrambe le mani, un piede leggermente avanti, busto eretto, braccia distese	Tirata verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole in chiusura;Ritorno controllato 3 sec;Busto eretto e immobile	Inclinare il busto indietro per aiutarsi;Tirare con i bicipiti;Perdere l'equilibrio in avanti	Piedi sfalsati per stabilita: se il busto oscilla, il carico e troppo alto	elastico	Elastico sotto i piedi o ancorato all'altezza dell'addome, tirata orizzontale verso l'addome: riproduce il rematore	Elastico ancorato all'altezza dell'addome o sotto i piedi con busto flesso, maniglie in mano, braccia distese;Tira le maniglie verso l'addome portando i gomiti indietro lungo il corpo;Contrai le scapole a fine tirata, busto immobile;Ritorno lento 3 sec senza far collassare l'elastico	Alzare il busto durante la tirata;Tirare con i bicipiti anziche con la schiena;Rilasciare bruscamente l'elastico;Spalle che si elevano verso le orecchie	rematore-cavo-medio-v-bar
EX482	Rematore manubri presa inversa panca inclinata	Dumbbell reverse grip row prone incline bench	tirata orizzontale	dorsali	panca inclinata	casa;palestra	gran dorsale;romboidi;bicipiti;trapezio medio	principiante;intermedio	principale	spalle;gomito	gomito: la presa supina carica i bicipiti, riduci il peso. lombare protetta dall'appoggio del petto	EX011	Panca inclinata a 30-45 gradi, petto in appoggio sullo schienale, manubri con presa supina a braccia distese verso il basso	Tirata verso i fianchi portando i gomiti indietro lungo il corpo;Contrai le scapole;Discesa controllata 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca;Tirare con i bicipiti;Non completare la distensione in basso	La presa supina enfatizza la parte bassa del dorsale ma carica i bicipiti: usa pesi moderati	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-manubri-presa-inversa-panca-inclinata
